% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=389935, Fri Dec 13 11:36:03 2019, <python>{}</python>
1 8 3.0153219073103843 0 0 3.013747417753052 2.870767566424731 3.2808491005508733 2.8680962221989605
2 16 2.612812671072466 0 0 2.6045431649522266 2.0906486828916235 2.725885500398515 2.4986480699146454
2 16 4.063155281788045 0 0 4.560764461789555 3.7815133449702123 4.150139059640374 3.5790918241283736
2 16 3.2286980286950513 0 0 3.2237285709859704 3.05928213654136 3.348954694983146 3.07751663434596
2 16 3.037086084991858 0 0 2.8762794535933423 2.846419211661357 3.296470199966832 2.85614801457822
2 16 3.7810150162933858 0 0 4.032497915372177 3.602125916066178 4.790721436060296 3.2400408233432136
2 16 3.3238281183512504 0 0 3.417336926107982 3.1039702784058907 3.8484178028346596 2.9740908263625143
2 16 2.8051925559716957 0 0 2.617607751500622 2.9086664353770817 2.6384690356251603 3.027897298209604
2 16 3.879317827088656 0 0 4.780149163813082 4.177119159429156 3.6295598292153914 3.495330147635145
2 16 3.7683969421673105 0 0 3.861659803307026 4.108636010622805 3.8610172254021418 4.052302565392733
2 16 2.968849962202603 0 0 3.6453255281697463 2.5663718459111378 3.3505176444143765 2.599580798454829
2 16 2.9937867505881672 0 0 2.7209966964224255 3.622973268289495 2.7358860611147033 2.947208009381499
